Hindi	Telugu	Similarity_Score
मैं बहुत छो टी थी जब मेरी माँ की म ृ त य ु हुई , लेकिन त ब भी मैं यह जान ती थी .	మా అమమ నేను చాలా చినన గా ఉనన పపుడ ే చని పోయింది , అయి నా కానీ నా క ది తెలుసు .	0.6032
जिस दिन तुम पै दा हुए थे , मैं तुमहारी र कष ा के लिए एक दी वार बन कर ख डा था ,	మీరు జ న మి ంచిన రోజు న , మి మమ లని కా పా డ టా నికి ఒక గో డ మీద ని ల చ ొ ని పో రా డా ను ,	0.6402
- कया तुमहें मेरी बात समझ आई ? - हाँ .	- నేను చెపపి ంది అరథ మె ందా ? - అరథ మె ంది .	0.5597
रा नी का अप हर ण कोई कैसे कर सकता है ?	మ హా రా ణ ి ని ఎవర ెనా ఎలా అ ప హ రి ంచ గల రు ?	0.5734
तो तुम सिर फ आ रा म कयों नहीं करती ?	అందు కని కా సత శా ంత ంగా ఉండ వచచు కదా ?	0.5504
जब आप का काम मह त व पू र ण होता है और आपको आ ग ंत ु क नहीं चाहिए हो ते हैं .	ఇంకా నీకు ఇ తరు ల జో క యం వదదు అని అను కు నన పపుడు ఇలా ంటి దే జరుగు తు ందే మో .	0.6421
अगर तुमने कोई सं के त नहीं दिया तो ?	ఒక వే ళ మీరు ఏ సం కే తా నని ఇవ వ కు ంటే ?	0.6056
इस त थ य को अ लग रख ो कि उसने अपने बच चे को गा ली खा ने के लिए छोड दिया	తన కొ డు కు ని వది లే సి అత డి ని ఒక న ర రూ ప రా కష సు డి గా మార చి న విష యా నని	0.6500
रा नी बन ने पर यह सब होता ही है .	సి ం హా స నం అ ననా క శ తరు వు లు ఉంటా రు .	0.5876
तुम सब कुछ ज ला कर रा ख न कर देना	అ పపుడు ఈ చ ో టి నం తా త గల బె టట ే య ండి ,	0.5483
के व ल कुछ चीज ें हैं जि न हें हमें पहले ह ल करने की आ व श य क ता है .	కానీ అంత కు ముందు కొనని విష య ాలను మనం మాటలా డి పరి ష కరి ంచుకో వాలి .	0.6060
कृ पया जान ो , हा ला ं कि मैंने उन कहा नि यों को मन ो र ं ज क पा या . . .	దయచేసి తెలుసు కో , నాకు ఆ క థ ల న నీ బాగా వి నో దానని అ ంది ంచి నా . . .	0.6340
- ह नि वा , नहीं ! - मार ना बंद करो !	- హ నీ వా , వదదు ! - శ ర సం ధా నం ఆ ప ండి !	0.6648
मुझे लगता है कि इस ी लिए वह कभी भी खुद उसे दू र नहीं कर स के	అందు కే ఆమె కి అ నని ంటి క ననా ఎకకువ న చచి న విష యా నికి వచచి న పపుడు ,	0.6080
मैं बता नहीं सकता मुझे रा ह त मि ली है या मैं उ म मी द कर रहा था हमें यह कभी नहीं मिले गा .	ఇది చూ సి ఆ న ంద పడ ాలో లే క ఇది అస లు క న బ డ దు అని ఆ శి ంచిన ందుకు బా ధ పడ ాలో అరథం కా వడం లేదు .	0.6573
तुमने खुद को गर वि त किया है .	నినను చూ సి నువ వే గర వ పడ ాలి .	0.6038
पर वे श करो , और दि ख जाओ गे . "	పర వే శి ంచా ర ంటే , చూడ బ డ తా రు . "	0.6357
अब हम आ रहे हैं , हम दोनों .	మేము వ సతుననా ం , ఇ దద ర మూ కూడా .	0.5559
और तुम इस न ई दु निया का नि र मा ण देख ने वा लों और द ृ ष टि ही न दोनों के लिए बना रहे हो .	మీరు ఈ కొతత పర ప ంచా నని , చూ పు నన వా రికీ , అలాగే చూ పు లే ని వా రికి కూడా ని ర మి ంచాలి .	0.6623
पर वे श करो , और दि ख जाओ गे .	పర వే శి ంచా ర ంటే , చూడ బ డ తా రు .	0.6110
पिता जी , आप मेरे पिता हैं .	నా ననా , నువ వే నా త ండ రి వి .	0.5097
कम से कम हम जानते हैं हम सही रा स ते पर जा रहे हैं .	క నీ సం మనం స రె న ది శ లో నే వెళ తుననా మన ెనా తెలి సింది .	0.5900
मेरा इसे जान ना आ व श य क है .	నేను తెలుసు కొ ని తీ ర ాలి .	0.5168
हम पीछे नहीं ह ट रहे हैं .	మనం వెన క కి వెళళ డం లేదు .	0.5080
तुम दोनों , ध यान से सुनो .	ఇ దద రూ , జా గర తత గా వి న ండి .	0.5340
यह वि शे ष रू प से कर ू र मह सू स होता था कि हर बार मेरी बह न पास थी . . .	మా అ కక నా దగగర ఉనన పర తీ సారి నా కే ద ో ఒక ర మెన గ గుర పా టు భా వ న కలి గే ది . . .	0.6910
और तुमहारी तरह , मुझे यकीन है कि वह जान जाए गी कि वह अ के ली नहीं है .	ఇంకా నువవు చేసిన టలు గా నే , తను కూడా ఒ ంట రి కా దని తన కి తెలి సే లా చే సతాను .	0.6072
अन गि न त पर ति द व ंद वि ता , शि का य त ें और पर ति श ो ध .	లె కక లే నన ని వె ర ాలు , వే ద న లు మరి యు పర తీ కార ాలు .	0.6369
लेकिन वह उस अं ध े रे की च पे ट में नहीं आया है .	కానీ అదే దు ష ట పర భా వా నికి అతను లో ను కాల ేదు .	0.6524
पै रि स , मुझे नहीं पता .	ప యా రి స , నాకు తె లీ దు .	0.6104
मैं उसके साथ र हूँ गी .	నేను అతని తో నే ఉంటా ను .	0.5190
उसका जन म सि द ध अ धि कार .	తన జ నన హ కకు విషయం లో .	0.5877
तुमहें कया लगता है हम किस ओ र जा रहे हैं ?	మనం ఎ కకడికి వెళ తుననా మని అనుకుంటుననా వు ?	0.5517
कया ख बर है , म हा रा नी ?	ఏ సమా చా రం , మ హా రా ణ ీ ?	0.5560
मैं और तुम उन से अ लग दु निया में रह ते हैं .	మని దద రి పర ప ంచ ం వే రు , అతని పర ప ంచ ం వే రు .	0.5943
हाँ , उसने बताया था .	అవును , త నే చెపపి ంది .	0.5011
यह उस प ल ही स प ष ट हो गया था जब उसे तुमहारे पास ला या गया था .	అత డి ని నీ ము ందుకు తె చచి న పపుడ ే నా కా విషయం తెలి సి పోయింది .	0.5740
तुम कया कह रही हो ? हम उसे यहाँ नहीं छोड रहे हैं , ह नि वा .	నువ వే ం మాటలాడు తుననా వు ? మనం త నని ఇకకడ వది లి వెళళ లే ం , హ నీ వా .	0.6184
वह पा गल हो गया है .	అతనికి మ తి తపప ి ంది .	0.4306
मुझे पता है कि आप की बह न किस के पास है .	నీ సో ద రి ఎవ రి దగ గ రు ందో నాకు తెలుసు .	0.6255
मुझे खे द है कि तुमहारे साथ ऐसा हुआ .	మీకు జరిగి న దా నికి నేను చి ం తి సతుననాను .	0.5524
मेरे बच च ों , मैं सब की तरह अं धा हूँ .	పిలల లా రా , అంద రి లా గా నేను గు డ డి వాడి నే .	0.5889
मैं तुमहें देख ना कभी बंद नहीं कर ूँगा .	అంతే గా క మీ ఇ దద రి నీ చూడ టం నేను ఆ ప ను .	0.5556
वि श वास करने से डर लगता था कि मैं बच गया और यह सच था .	నేను నిజంగా తపప ి ంచు కుననా నని , అది నిజ మే నని న మమ ాల ంటే భ యం .	0.5667
घ ं टी ब ज ती है तो हमें कैसे पता च ले गा कि तुम भा ग ने की कोशिश नहीं कर रही हो ?	గ ంట మ రో గి తే నే కదా , నువవు పా రి పో వ డానికి పర యత ని సతుననా వ ని మాకు తెలి సే ది ?	0.6464
हाँ , मै म , बिलकुल .	బాగా తెలుసు , మే డ మ .	0.5639
वह करो ध और मैं कि तना वि ना श का री था ?	ఎంత క రో ధ ంతో , ఎంత పర ళ య భ ీ కర ంగా ఉననా నో ?	0.5230
मैं यह कभी नहीं मान ना चाहता था , लेकिन पै रि स सही है .	దీ నని అస లు న మమ ాలని నాకు లేదు , కానీ ప యా రి స అ నన ది నిజ మే .	0.5889
और वह देख सकता है .	అతనికి చూ పు ఉంది .	0.4754
शा स न करने के लिए सि ं हा स न पर के न न हुआ , तो वे फिर से वापस आ जाएँ गे .	సి ం హా స నం మీద కే న వం శ సథ ు లు లే కపో తే , మర లా ఆ పరి సథి తు లే పు న రా వ ృ తత మ వు తా యి .	0.6768
वे मेरा जी व न हैं .	వాళళ ే నా జీవి తం .	0.5171
अपनी बह न को देखो .	నీ సో ద రి ని చూడు .	0.4415
हमेशा , छो टी बह न .	ఎ పపటి కీ , చె ల లె లా .	0.4540
